product_id,fraud_label,image_url
000001,0,https://m.media-amazon.com/images/I/61Fe+1-71-L._AC_SX679_.jpg
000002,0,https://m.media-amazon.com/images/I/61BT0WhQmsL._AC_SY450_.jpg
000003,0,https://m.media-amazon.com/images/I/71CqgAqik7L._AC_SY355_.jpg
000004,1,https://m.media-amazon.com/images/I/61EKDLJZOdL._AC_SY395_.jpg
000005,0,https://m.media-amazon.com/images/I/71ccVZIFUAL._AC_SY355_.jpg
000006,1,https://m.media-amazon.com/images/I/61tL3-dXPDL._AC_SY355_.jpg
000007,1,https://m.media-amazon.com/images/I/71oBCxH-D3L._AC_SY300_SX300_QL70_FMwebp_.jpg
000008,0,https://m.media-amazon.com/images/I/61aY0RBgfUL._AC_SX466_.jpg
000009,1,https://m.media-amazon.com/images/I/61k-ihv-A8L._SX466_.jpg
000010,1,https://m.media-amazon.com/images/I/61QEtnrSLrL._AC_SX466_.jpg
000011,1,https://m.media-amazon.com/images/I/71zlujb9-YL._AC_SX679_.jpg
000012,0,https://m.media-amazon.com/images/I/71thbfHgqOL._AC_SX679_.jpg
000013,0,https://m.media-amazon.com/images/I/611jnYHa1OL._AC_SX679_.jpg
000014,0,https://m.media-amazon.com/images/I/71JkHJPFhUL._AC_SX466_.jpg
000015,0,https://m.media-amazon.com/images/I/71YEtWifIJL._AC_SX679_.jpg
000016,0,https://m.media-amazon.com/images/I/71k5DPpC3WL._AC_SX466_.jpg
000017,1,https://m.media-amazon.com/images/I/61Qi8k6mOIL._AC_SX466_.jpg
000018,1,https://m.media-amazon.com/images/I/71RIhlxOd3L._AC_SX466_.jpg
000019,0,https://m.media-amazon.com/images/I/41yfeQoryvL._AC_SX466_.jpg
000020,0,https://m.media-amazon.com/images/I/611etLywXuL._AC_SX679_.jpg
000021,0,https://m.media-amazon.com/images/I/51Kc3+eEY1L._AC_SX466_.jpg
000022,0,https://m.media-amazon.com/images/I/714o7jfrSxL._AC_SX355_.jpg
000023,0,https://m.media-amazon.com/images/I/714sV1Ls+4L._AC_SY355_.jpg
000024,0,https://m.media-amazon.com/images/I/61ypMb+5AwL._AC_SY355_.jpg
000025,1,https://m.media-amazon.com/images/I/71RD47zEMlL._AC_SY355_.jpg
000026,0,https://m.media-amazon.com/images/I/71P+-NY2cpL._AC_SY355_.jpg
000027,0,https://m.media-amazon.com/images/I/61FwlputqFL._AC_SX522_.jpg
000028,1,https://m.media-amazon.com/images/I/61LyzAHRQeL._AC_SY355_.jpg
000029,0,https://m.media-amazon.com/images/I/71YsrncEfKL._AC_SY355_.jpg
000030,0,https://m.media-amazon.com/images/I/61XpepIlVFL._AC_SY355_.jpg
000031,0,https://m.media-amazon.com/images/I/71ryvLSJikL._AC_SY355_.jpg
000032,1,https://m.media-amazon.com/images/I/71r7zwP3vJL._AC_SY355_.jpg
000033,1,https://m.media-amazon.com/images/I/71ApgqTcgrL._AC_SY355_.jpg
000034,0,https://m.media-amazon.com/images/I/61lhEQCwXEL._AC_SY550_.jpg
000035,1,https://m.media-amazon.com/images/I/6188F3wV-cL._AC_SX679_.jpg
000036,1,https://m.media-amazon.com/images/I/6188F3wV-cL._AC_SX679_.jpg
000037,1,https://m.media-amazon.com/images/I/61YV2ZmJz7L._AC_SX679_.jpg
000038,1,https://m.media-amazon.com/images/I/71WLR6ueVZL._AC_SX679_.jpg
000039,0,https://m.media-amazon.com/images/I/61QtFjYsOkL._AC_SX679_.jpg
000040,0,https://m.media-amazon.com/images/I/61QtFjYsOkL._AC_SX679_.jpg
000041,0,https://m.media-amazon.com/images/I/61QtFjYsOkL._AC_SX679_.jpg
000042,1,https://m.media-amazon.com/images/I/51X3ayxMNuL._AC_SX679_.jpg
000043,1,https://m.media-amazon.com/images/I/51X3ayxMNuL._AC_SX679_.jpg
000044,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000045,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000046,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000047,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000048,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000049,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000050,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000051,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000052,0,https://m.media-amazon.com/images/I/61Ll8ZDW3GL._AC_SX466_.jpg
000053,0,https://m.media-amazon.com/images/I/610SYBApq1L._AC_SX679_.jpg
